path,id,name,mrp,manufacturer,countryOfOrigin,colours,baseColour,brand,articleType,subCategory,masterCategory,gender,colourHexCode,Body or Garment Size,Closure,Fabric,Hemline,Hood,Length,Neck,Number of Pockets,Occasion,Pattern,Pocket,Print or Pattern Type,Sleeve Length,Sport,Surface Styling,Technology,Type,Wash Care,,Activity Tracking,Activity Training,Add-Ons,Altimeter,Barometer,Battery Capacity,Battery Life,Battery Type,Bluetooth,Bluetooth Version,Call Function,Caller ID,Case,Charging Type,Compatibility,Customisable Watch Face,Dial Colour,Dial Material,Dial Shape,Display,Display Resolution,Dust Resistance,Features,Flight Mode,GPS Tracking,Glass Type,Gyroscope,Heart Rate Monitor,Internal Memory,Microphone,Notifications,OS,Pedometer,Processor Name,Processor Speed,RAM,Scratch Resistance,Screen Type,Sensor,Sleep Monitor,Strap Material,Sustainable,Voice Recognition,Warranty,Water Resistance,Water Resistance Depth,Wi-Fi,Wi-Fi Version,Collar,Lining Fabric,Technology Present,Weave Type,Character,Fabric 2,Fabric 3,Fit,Main Trend,Multipack Set,Pattern Coverage,Players,Sleeve Styling,Sport Team,Ankle Height,Fastening,Insole,Material,Micro Trend,Ornamentation,Shoe Width,Sole Material,Toe Shape,Adjustable,Filtration,Foldable,Mask Type,Package Content,Ply,Reusable,Center Front Open,Arch Type,Cleats,Cushioning,Distance,Outsole Type,Pronation for Running Shoes,Running Type,Surface Type,Brand Fit Name,Cuff,Placket,Placket Length,Pocket Type,Responsible,Stitch,Transparency,Weave Pattern,Distress,Effects,Fade,Reversible,Shade,Stretch,Type of Distress,Waist Rise,Waistband,Fly Type,Type of Pleat
D:/Codes/Work/scrapping/frames/11961758.jpg,11961758,HRX by Hrithik Roshan Men Jet Black Solid Antimicrobial Training Jacket,3399,"SARBI APPAREL PVT LTDG-8, SEC D1, APPAREL PARK UPSIDC INDUSTRIAL AREA TRONICA CITY LONI,Loni,Uttar pradesh,201102",India,0,Black,HRX by Hrithik Roshan,Jackets,Topwear,Apparel,Men,0,Garment Measurements in,Zip,Polyester,Straight,,Regular,,2,Sports,Solid,,Solid,Long Sleeves,Training or Gym,NA,Antimicrobial,Sporty Jacket,Machine Wash,,,,NA,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,Regular,,,,,,,Mock Collar,Unlined,Yes,Knitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:/Codes/Work/scrapping/frames/12916490.jpg,12916490,U.S. Polo Assn. Men Maroon Solid Padded Jacket,4999,"GLOBAL FASHION UK LTDROOM 1305A SINO CTR 582-592,NATHANROAD,MONG KOKKOWLOON-94089",India,0,Maroon,U.S. Polo Assn.,Jackets,Topwear,Apparel,Men,0,Garment Measurements in,Zip,Nylon,Straight,,Regular,,2,Casual,Solid,,Solid,Long Sleeves,NA,NA,NA,Padded Jacket,Machine Wash,,,,NA,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,Regular,,,,,,,Mock Collar,Nylon,No,Woven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:/Codes/Work/scrapping/frames/6996804.jpg,6996804,Campus Sutra Men Black Self Design Quilted Jacket,2799,"Campus Sutra, 1-1/E, 1st Floor Girias Building, Opp Indian Oil Petrol Bunk, New Guddadahalli Bangalore - 560026",india,0,Black,Campus Sutra,Jackets,Topwear,Apparel,Men,0,Garment Measurements in,Zip,Nylon,Straight,,Regular,,NA,Casual,Self Design,,Self Design,Long Sleeves,,NA,,Quilted Jacket,Machine Wash,,,,NA,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,Hooded,Nylon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:/Codes/Work/scrapping/frames/10985660.jpg,10985660,Ecko Unltd Men Olive Green Solid Jacket,2649,"Prateek Apparels Pvt Ltd 113,Krishna Reddy industrial Area 7th Mile Hosur Road Kudlu Pin-560068",India,0,Olive,Ecko Unltd,Jackets,Topwear,Apparel,Men,0,Garment Measurements in,Snap Button,Cotton,Straight,,Regular,,4,Casual,Solid,,Solid,Long Sleeves,NA,NA,NA,Tailored Jacket,Machine Wash,,,,NA,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,Mock Collar,Unlined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:/Codes/Work/scrapping/frames/10167299.jpg,10167299,Roadster Men Mustard Yellow Solid Hooded Sweatshirt,999,"STAR APPARELH.NO:B-24-3102/6/1, STREET NO.1,,NIRANKARI COLONY, SUNDER NAGAR,,LUDHIANA,PUNJAB,141007",India,0,Mustard,Roadster,Sweatshirts,Topwear,Apparel,Men,0,Garment Measurements in,NA,Polyester,Straight,Hooded,Regular,Hood,1,Casual,Solid,Kangaroo Pocket,Solid,Long Sleeves,NA,NA,NA,Pullover,Machine Wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:/Codes/Work/scrapping/frames/9838371.jpg,9838371,HIGHLANDER Men Black Solid Slim-Fit Track Pants,999,"Prateek Apparels Pvt Ltd 113,Krishna Reddy industrial Area 7th Mile Hosur Road Kudlu Pin-560068",India,0,Black,HIGHLANDER,Track Pants,Bottomwear,Apparel,Men,0,To-Fit Denotes Body Measurements in,,Cotton,,,Regular,,2,Casual,,,Solid,,NA,,NA,Regular,Machine Wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polyester,,Slim Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:/Codes/Work/scrapping/frames/7741225.jpg,7741225,Eego Italy Men Black Leather High-Top Trekking Shoes,2599,"Address - 58/293 f/1c shyam nagar vip road,Behind Sunil Kumar Mahesh Chand Jeweler Kheria Mod, Agra - 282001",India,0,Black,Eego Italy,Sports Shoes,Shoes,Footwear,Men,0,,,,,,,,,,,,,,Trekking,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 months,,,,,,,,,,,,,,,,,,,High-Top,Lace-Ups,,Leather,,,,,,,,,,,,,,Medium,Fixed,Medium,Long,Non-Marking,NA,NA,Soft,,,,,,,,,,,,,,,,,,,,
D:/Codes/Work/scrapping/frames/11780968.jpg,11780968,HIGHLANDER Men Green & White Slim Fit Printed Casual Shirt,1049,"Pradhan Mercantile Pvt Ltd plot #87-B Kiadb Industrial Area,2nd Phase Nosigere Village,Kasaba Hobli Malur563130",India,0,Green,HIGHLANDER,Shirts,Topwear,Apparel,Men,0,Garment Measurements in,,Cotton,Curved,,Regular,,1,Casual,Printed,,Floral,Short Sleeves,,Chest Pocket,,,Machine Wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spread Collar,,,,,NA,,Slim Fit,Floral Print,,,,Regular Sleeves,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,Button,Button Placket,Full,Patch,Regular,Ready to Wear,Opaque,Regular,,,,,,,,,,,
D:/Codes/Work/scrapping/frames/11961752.jpg,11961752,HRX by Hrithik Roshan Men Vapor Blue Solid Antimicrobial Training Jacket,3399,"SARBI APPAREL PVT LTD G-8 Sec D-1, apparel park tronica city loni Gzb- 201102",India,0,Grey,HRX by Hrithik Roshan,Jackets,Topwear,Apparel,Men,0,Garment Measurements in,Zip,Polyester,Straight,,Regular,,2,Sports,Solid,,Solid,Long Sleeves,Training or Gym,NA,Antimicrobial,Sporty Jacket,Machine Wash,,,,NA,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,Regular,,,,,,,Mock Collar,Unlined,Yes,Knitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:/Codes/Work/scrapping/frames/12377098.jpg,12377098,Fossil Men Brown Solid Explorist HR Smart Watch FTW4015,21995,"Imported By:Fossil India Pvt LtdKhasra no: 2058/1754/18 & 2059/1754/18.WAKA MOUZA , Bhatauli Kalan,Tehsil BADDI,Solan, Baddi.Himachal Pradesh173205",China,0,Brown,Fossil,Smart Watches,Smart Wearables,Accessories,Men,0,,,,,,,,,,,,,,,,,Smart,,,Yes,No,NA,No,No,NA,24 to 36 hours,Lithium Ion,Yes,V4.1,No,No,Hard Case,Wireless,Android and iOS,Yes,Black,Stainless Steel,Round,Digital,NA,No,NA,No,Yes,Normal,No,Yes,4 GB,No,Yes,Watch OS,Yes,NA,NA,512 MB,No,Amoled,Yes,No,Leather,,Yes,2 years,Yes,10 m,Yes,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
